Wall time,Step,Value
1655051440.524217,16,-45.20405197143555
1655051441.197446,32,59.7983512878418
1655051441.410488,48,-40.494903564453125
1655051441.64507,64,-133.09848022460938
1655051441.849713,80,-57.60112380981445
1655051442.058279,96,101.09973907470703
1655051442.257533,112,-52.9985237121582
1655051442.457894,128,66.39396667480469
1655051442.660391,144,-118.197265625
1655051442.849163,160,-147.9051971435547
1655051443.154237,176,-62.701133728027344
1655051443.368874,192,-57.696388244628906
1655051443.590815,208,53.00043869018555
1655051443.841116,224,-148.9957733154297
1655051444.094007,240,-47.59808349609375
1655051444.410008,256,-86.39689636230469
1655051444.68855,272,-84.59906005859375
1655051444.879633,288,-90.3062515258789
1655051445.0695,304,55.20673370361328
1655051445.291221,320,-148.70367431640625
1655051445.505743,336,-88.49772644042969
1655051445.698527,352,-136.19656372070312
1655051445.909037,368,-52.000762939453125
1655051446.149766,384,-132.69349670410156
1655051446.368534,400,34.197113037109375
1655051446.591296,416,-2.603985548019409
1655051446.80407,432,-30.7060604095459
1655051447.068245,448,-46.59736633300781
1655051447.300532,464,-77.39676666259766
1655051447.51628,480,-55.59540939331055
1655051447.747011,496,-14.900555610656738
1655051447.951452,512,-89.4996566772461
1655051448.136872,528,-138.8988494873047
1655051448.457705,544,-96.19355773925781
1655051448.661999,560,-38.499481201171875
1655051448.863557,576,1.1004806756973267
1655051449.087174,592,-110.8997573852539
1655051449.336036,608,-136.3998260498047
1655051449.587037,624,3.0025787353515625
1655051449.88377,640,-73.30632781982422
1655051450.105197,656,60.00029373168945
1655051450.300895,672,-109.49951171875
1655051450.484914,688,-20.100557327270508
1655051450.70328,704,29.795551300048828
1655051450.913382,720,-27.09503173828125
1655051451.146404,736,-97.49485778808594
1655051451.325141,752,33.80204391479492
1655051451.561941,768,-20.102689743041992
1655051451.774581,784,30.204248428344727
1655051452.012531,800,-85.8967056274414
1655051452.195131,816,-46.40158462524414
1655051452.444433,832,-118.09916687011719
1655051452.624329,848,22.00235939025879
1655051452.866553,864,-40.9040412902832
1655051453.104899,880,-98.00070190429688
1655051453.346926,896,-78.59855651855469
1655051453.534318,912,14.505205154418945
1655051453.789291,928,-160.6937255859375
1655051453.980312,944,103.7012710571289
1655051454.201808,960,16.399887084960938
1655051454.37871,976,-40.9055061340332
1655051454.581047,992,-74.69161224365234
1655051454.842274,1008,-83.896728515625
1655051455.074795,1024,41.099761962890625
1655051455.280424,1040,-121.8017807006836
1655051455.507505,1056,-86.8023681640625
1655051455.709453,1072,-124.9033432006836
1655051455.935552,1088,-64.29945373535156
1655051456.167713,1104,-23.00228500366211
1655051456.442399,1120,-12.604281425476074
1655051456.661171,1136,-90.1036148071289
1655051456.874571,1152,-42.20045471191406
1655051457.118063,1168,-58.603370666503906
1655051457.322381,1184,49.69628143310547
1655051457.521443,1200,43.801971435546875
1655051457.717457,1216,-77.1950454711914
1655051457.917751,1232,86.1973648071289
1655051458.12836,1248,-30.302881240844727
1655051458.365373,1264,-75.90038299560547
1655051458.54224,1280,-66.00031280517578
1655051458.740143,1296,-50.397464752197266
1655051458.958986,1312,-74.79643249511719
1655051459.159536,1328,-94.70146179199219
1655051459.341526,1344,-64.20167541503906
1655051459.591561,1360,-104.89888000488281
1655051459.795377,1376,-102.4029769897461
1655051460.022018,1392,-55.604270935058594
1655051460.228657,1408,-31.29741859436035
1655051460.435227,1424,-96.59549713134766
1655051460.681589,1440,-34.10083770751953
1655051460.921575,1456,-83.50025939941406
1655051461.173445,1472,-103.69744873046875
1655051461.40392,1488,-110.79646301269531
1655051461.634604,1504,49.59959030151367
1655051461.809959,1520,40.003013610839844
1655051462.0047,1536,-16.296810150146484
1655051462.215375,1552,-17.399856567382812
1655051462.423843,1568,-62.2025032043457
1655051462.632465,1584,15.098681449890137
1655051462.892623,1600,-43.20372772216797
1655051463.116297,1616,-31.003833770751953
1655051463.478815,1632,-55.89863967895508
1655051463.676875,1648,-60.90105056762695
1655051463.904923,1664,-74.20417022705078
1655051464.142754,1680,-11.099650382995605
1655051464.430633,1696,-8.298861503601074
1655051464.691902,1712,-4.702772617340088
1655051464.907888,1728,58.2994384765625
1655051465.100618,1744,-113.60377502441406
1655051465.290013,1760,-71.80045318603516
1655051465.51568,1776,-41.904022216796875
1655051465.699034,1792,-61.00275421142578
1655051465.922104,1808,-112.9976806640625
1655051466.132002,1824,-96.0021743774414
1655051466.336884,1840,-78.50640106201172
1655051466.729129,1856,-69.69659423828125
1655051466.930895,1872,-183.79672241210938
1655051467.188264,1888,-137.59756469726562
1655051467.421424,1904,-11.5040864944458
1655051467.652292,1920,53.59967041015625
1655051467.911073,1936,-102.10655212402344
1655051468.089493,1952,18.197669982910156
1655051468.278713,1968,-37.19852828979492
1655051468.504442,1984,0.19585570693016052
1655051468.731906,2000,-28.201568603515625
1655051468.979307,2016,-80.29517364501953
1655051469.207569,2032,-178.2982635498047
1655051469.412391,2048,-16.30206298828125
1655051469.622569,2064,-90.80143737792969
1655051469.869172,2080,44.20106887817383
1655051470.095576,2096,-71.19815826416016
1655051470.313147,2112,68.00242614746094
1655051470.556919,2128,106.3006591796875
1655051470.761179,2144,-72.49819946289062
1655051470.959243,2160,9.20240592956543
1655051471.165783,2176,18.400066375732422
1655051471.380549,2192,-24.304866790771484
1655051471.576901,2208,111.0981674194336
1655051471.803823,2224,15.004895210266113
1655051472.011465,2240,2.3936233520507812
1655051472.19891,2256,48.202476501464844
1655051472.416365,2272,78.20797729492188
1655051472.609932,2288,-105.9946060180664
1655051472.826778,2304,19.902019500732422
1655051473.023542,2320,-47.39630126953125
1655051473.195817,2336,-89.00239562988281
1655051473.415763,2352,37.098533630371094
1655051473.602933,2368,11.508145332336426
1655051473.840616,2384,-96.8021011352539
1655051474.024182,2400,-41.707298278808594
1655051474.23982,2416,-70.7994384765625
1655051474.424572,2432,20.90495491027832
1655051474.617969,2448,39.801788330078125
1655051474.806071,2464,24.300710678100586
1655051474.991231,2480,-60.1046142578125
1655051475.215668,2496,-124.20079040527344
1655051475.435933,2512,0.797900378704071
1655051475.629528,2528,-1.4025665521621704
1655051475.832192,2544,47.797279357910156
1655051476.054439,2560,-116.90228271484375
1655051476.24733,2576,-100.20597839355469
1655051476.443491,2592,-95.20176696777344
1655051476.641863,2608,-31.4988956451416
1655051476.83653,2624,-47.197322845458984
1655051477.010324,2640,-86.49955749511719
1655051477.237347,2656,-122.19976806640625
1655051477.451633,2672,56.303428649902344
1655051477.638611,2688,11.201861381530762
1655051477.822144,2704,-73.9014892578125
1655051478.030711,2720,46.60238265991211
1655051478.208405,2736,-58.19633865356445
1655051478.429036,2752,-101.29852294921875
1655051478.634034,2768,-131.7985076904297
1655051478.81492,2784,-5.197770595550537
1655051478.982812,2800,-26.799991607666016
1655051479.169379,2816,-116.00199890136719
1655051479.371827,2832,12.104654312133789
1655051479.550566,2848,-169.0998992919922
1655051479.741268,2864,45.10109329223633
1655051479.930538,2880,-153.6955108642578
1655051480.126932,2896,-97.0988540649414
1655051480.332235,2912,-63.901893615722656
1655051480.519273,2928,26.80109214782715
1655051480.714613,2944,-110.4011001586914
1655051480.937076,2960,-23.597177505493164
1655051481.126523,2976,-121.10079193115234
1655051481.341794,2992,-24.802642822265625
1655051481.583052,3008,-40.80077362060547
1655051481.756924,3024,-8.696040153503418
1655051481.950072,3040,-93.3005599975586
1655051482.166677,3056,-47.50322341918945
1655051482.346542,3072,-95.49833679199219
1655051482.563395,3088,62.997840881347656
1655051482.771096,3104,-25.59606170654297
1655051483.037625,3120,-20.69999122619629
1655051483.325704,3136,47.79191589355469
1655051483.559859,3152,-9.000310897827148
1655051483.800596,3168,-57.80305862426758
1655051484.030409,3184,41.10068893432617
1655051484.274659,3200,-5.902369499206543
1655051484.535387,3216,-69.19947052001953
1655051484.949841,3232,-131.4004669189453
1655051485.127827,3248,-37.397151947021484
1655051485.322584,3264,35.10654067993164
1655051485.554495,3280,-66.99788665771484
1655051485.746611,3296,-114.7027587890625
1655051485.983819,3312,-14.803851127624512
1655051486.184805,3328,10.403255462646484
1655051486.398291,3344,1.5029243230819702
1655051486.634586,3360,-107.00325775146484
1655051486.838241,3376,14.299530029296875
1655051487.077488,3392,98.60343170166016
1655051487.31798,3408,-79.10160827636719
1655051487.508016,3424,-1.9994628429412842
1655051487.715639,3440,-184.2002410888672
1655051487.901259,3456,-53.803733825683594
1655051488.120053,3472,58.90020751953125
1655051488.346352,3488,-8.490652084350586
1655051488.558065,3504,20.80423927307129
1655051488.758878,3520,105.2967300415039
1655051488.957561,3536,-22.101634979248047
1655051489.17399,3552,-83.69811248779297
1655051489.403354,3568,-54.8991813659668
1655051489.60029,3584,1.0986770391464233
1655051489.797836,3600,-109.89913177490234
1655051489.997703,3616,-52.0037727355957
1655051490.226261,3632,-72.30152130126953
1655051490.416263,3648,-4.498220920562744
1655051490.623568,3664,-54.7022819519043
1655051490.791723,3680,-50.8982048034668
1655051490.997672,3696,68.79793548583984
1655051491.219781,3712,51.49568557739258
1655051491.440898,3728,-27.600759506225586
1655051491.651586,3744,-68.70211791992188
1655051491.857818,3760,-234.00048828125
1655051492.07464,3776,-85.50068664550781
