Wall time,Step,Value
1655051440.523465,16,0.875
1655051441.196086,32,0.75
1655051441.409162,48,1.0
1655051441.644139,64,0.5
1655051441.848386,80,0.625
1655051442.057562,96,0.5
1655051442.256912,112,0.625
1655051442.456683,128,0.625
1655051442.659356,144,0.75
1655051442.84796,160,0.125
1655051443.153411,176,0.375
1655051443.367763,192,0.5
1655051443.590191,208,0.5
1655051443.840483,224,0.375
1655051444.092075,240,0.375
1655051444.408725,256,0.25
1655051444.687848,272,0.875
1655051444.878848,288,0.625
1655051445.068406,304,0.625
1655051445.29053,320,0.625
1655051445.504764,336,0.375
1655051445.697931,352,0.75
1655051445.907838,368,0.5
1655051446.148837,384,0.25
1655051446.367553,400,0.625
1655051446.590515,416,0.75
1655051446.803199,432,0.875
1655051447.065802,448,0.5
1655051447.29848,464,0.625
1655051447.514882,480,0.625
1655051447.745863,496,0.625
1655051447.950806,512,0.875
1655051448.13609,528,0.625
1655051448.45675,544,0.25
1655051448.661211,560,0.375
1655051448.86233,576,0.5
1655051449.086548,592,0.25
1655051449.335131,608,0.25
1655051449.585965,624,0.625
1655051449.882738,640,0.375
1655051450.104495,656,0.875
1655051450.300261,672,0.375
1655051450.484263,688,0.5
1655051450.702627,704,0.625
1655051450.911917,720,0.375
1655051451.145802,736,0.375
1655051451.32455,752,0.5
1655051451.560111,768,0.125
1655051451.773786,784,0.625
1655051452.011666,800,0.25
1655051452.193842,816,0.5
1655051452.443587,832,0.25
1655051452.623712,848,0.875
1655051452.86574,864,0.5
1655051453.103781,880,0.25
1655051453.345921,896,0.25
1655051453.533426,912,0.5
1655051453.788705,928,0.125
1655051453.979608,944,0.625
1655051454.200879,960,0.5
1655051454.377928,976,0.125
1655051454.578808,992,0.625
1655051454.840751,1008,0.5
1655051455.0742,1024,0.375
1655051455.279344,1040,0.25
1655051455.50691,1056,0.625
1655051455.708432,1072,0.375
1655051455.934605,1088,0.625
1655051456.166724,1104,0.625
1655051456.441444,1120,0.5
1655051456.659738,1136,0.5
1655051456.873396,1152,0.5
1655051457.117042,1168,0.375
1655051457.321762,1184,0.375
1655051457.52054,1200,0.625
1655051457.716531,1216,0.5
1655051457.916817,1232,0.75
1655051458.126704,1248,0.25
1655051458.364623,1264,0.375
1655051458.54106,1280,0.625
1655051458.739395,1296,0.5
1655051458.958392,1312,0.625
1655051459.158573,1328,0.5
1655051459.33997,1344,0.375
1655051459.591,1360,0.5
1655051459.794451,1376,0.25
1655051460.021057,1392,0.5
1655051460.227876,1408,0.375
1655051460.434282,1424,0.625
1655051460.680449,1440,0.375
1655051460.91954,1456,0.25
1655051461.172259,1472,0.375
1655051461.403065,1488,0.375
1655051461.633941,1504,0.375
1655051461.809113,1520,0.375
1655051462.003289,1536,0.25
1655051462.214791,1552,0.25
1655051462.423222,1568,0.375
1655051462.631078,1584,0.375
1655051462.89204,1600,0.875
1655051463.115443,1616,0.375
1655051463.478222,1632,0.625
1655051463.67622,1648,0.5
1655051463.9043,1664,0.375
1655051464.14141,1680,0.375
1655051464.429445,1696,0.625
1655051464.690448,1712,0.75
1655051464.90696,1728,0.625
1655051465.099988,1744,0.375
1655051465.289361,1760,0.375
1655051465.51499,1776,0.375
1655051465.698427,1792,0.375
1655051465.92148,1808,0.375
1655051466.131033,1824,0.25
1655051466.33625,1840,0.75
1655051466.727983,1856,0.625
1655051466.930208,1872,0.625
1655051467.1873,1888,0.25
1655051467.420512,1904,0.5
1655051467.650766,1920,0.625
1655051467.909792,1936,0.5
1655051468.088767,1952,0.75
1655051468.277636,1968,0.5
1655051468.503249,1984,0.625
1655051468.730835,2000,0.625
1655051468.978181,2016,0.5
1655051469.206861,2032,0.375
1655051469.411717,2048,0.5
1655051469.621347,2064,0.625
1655051469.868025,2080,0.625
1655051470.094822,2096,0.625
1655051470.312399,2112,0.875
1655051470.556225,2128,0.75
1655051470.76018,2144,0.625
1655051470.958488,2160,0.625
1655051471.165141,2176,0.625
1655051471.379679,2192,0.375
1655051471.575868,2208,0.625
1655051471.802706,2224,0.75
1655051472.010268,2240,0.625
1655051472.197685,2256,0.5
1655051472.415108,2272,0.625
1655051472.609236,2288,0.375
1655051472.825648,2304,0.5
1655051473.022824,2320,0.5
1655051473.195018,2336,0.25
1655051473.415177,2352,0.625
1655051473.602064,2368,0.25
1655051473.839736,2384,0.375
1655051474.023421,2400,0.375
1655051474.23921,2416,0.375
1655051474.423678,2432,0.375
1655051474.617247,2448,0.625
1655051474.805312,2464,0.5
1655051474.99021,2480,0.625
1655051475.21507,2496,0.375
1655051475.434827,2512,0.375
1655051475.628856,2528,0.625
1655051475.831345,2544,0.75
1655051476.053671,2560,0.375
1655051476.246566,2576,0.25
1655051476.44277,2592,0.125
1655051476.641314,2608,0.5
1655051476.835447,2624,0.375
1655051477.009182,2640,0.375
1655051477.236466,2656,0.375
1655051477.450193,2672,0.5
1655051477.637634,2688,0.25
1655051477.821334,2704,0.5
1655051478.030152,2720,0.375
1655051478.207509,2736,0.125
1655051478.427548,2752,0.375
1655051478.633468,2768,0.125
1655051478.814354,2784,0.375
1655051478.982176,2800,0.5
1655051479.168463,2816,0.5
1655051479.371004,2832,0.625
1655051479.549746,2848,0.125
1655051479.740599,2864,0.75
1655051479.929171,2880,0.375
1655051480.126347,2896,0.375
1655051480.330832,2912,0.375
1655051480.518173,2928,0.375
1655051480.714015,2944,0.375
1655051480.935844,2960,0.0
1655051481.125758,2976,0.25
1655051481.340883,2992,0.25
1655051481.582412,3008,0.25
1655051481.756192,3024,0.25
1655051481.949115,3040,0.25
1655051482.165909,3056,0.25
1655051482.345863,3072,0.5
1655051482.562551,3088,0.125
1655051482.77042,3104,0.375
1655051483.036721,3120,0.125
1655051483.324704,3136,0.125
1655051483.55888,3152,0.125
1655051483.799857,3168,0.375
1655051484.029428,3184,0.25
1655051484.273906,3200,0.125
1655051484.534684,3216,0.25
1655051484.949196,3232,0.0
1655051485.127278,3248,0.375
1655051485.321784,3264,0.0
1655051485.553804,3280,0.375
1655051485.745828,3296,0.125
1655051485.983222,3312,0.375
1655051486.18408,3328,0.5
1655051486.39769,3344,0.125
1655051486.633927,3360,0.5
1655051486.83751,3376,0.125
1655051487.075794,3392,0.125
1655051487.31743,3408,0.125
1655051487.507308,3424,0.375
1655051487.714921,3440,0.0
1655051487.899201,3456,0.125
1655051488.119432,3472,0.625
1655051488.345386,3488,0.125
1655051488.557463,3504,0.125
